R1,R2,QT,PT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
469,529,1988678767,8103267,42699152,53,34,20,34,10780,1741
469,561,1975522816,10969845,47606896,28,32,23,34,8468,3153
475,536,2024770480,2164353,51421072,18,32,21,32,6644,1708
491,523,1923847392,2143157,36245712,114,10,8,4,25474,3841
499,532,2018975044,7801919,45874208,104,18,21,19,19947,4783
505,532,2118095318,24758644,55459360,203,22,25,20,44740,6876
505,561,2041704633,6322244,60882464,11,30,30,27,9165,2900
508,596,1925542715,3591696,40162592,43,13,14,12,9921,2388
530,621,2101772818,11633743,51743672,52,33,31,33,10972,4078
531,562,2086602665,25038528,57642600,348,37,11,37,42773,2572
532,560,2099301148,8345688,44262048,38,65,56,34,21728,2977
533,593,2075906103,4558701,49676648,14,41,25,41,5706,1751
535,658,2065638234,11282170,56441000,43,26,47,35,15403,4397
552,584,1931380708,1380778,39207088,45,17,13,4,10994,1579
558,620,2003383173,6748640,44496024,35,31,27,31,9994,3036
560,590,2192652023,6406034,43219072,662,27,4,26,82754,1446
565,657,1960068083,6389811,49385584,16,32,43,42,8026,2853
565,687,2074295430,2888562,52465000,11,31,48,32,7740,2967
588,650,1924726607,2422096,55991336,14,28,16,28,5784,2023
596,655,2019796644,9526852,63032528,62,31,8,31,11375,2857
596,688,2012236002,1632445,49138312,6,34,32,50,7251,2143
623,684,1973110589,1513036,52641136,7,36,10,32,5098,1682
646,680,1973234895,7696995,59643232,39,25,10,25,10956,3640
648,681,1940430961,3937325,63143136,14,33,23,33,7878,2034
650,711,2095414363,5990021,46659784,29,34,36,28,10314,2378
650,739,2069954739,2945093,54661376,102,6,8,6,14381,3540
678,709,1969302513,6187895,63189456,74,33,16,33,13344,1064
685,714,1983185823,1338570,67450704,14,31,28,24,4644,675
686,716,2157639534,4075301,55697128,300,17,16,5,26510,715
687,748,2101422442,1394673,61867624,5,36,15,39,5196,1560
688,748,1994640284,1368751,68027520,7,33,35,34,5612,1202
705,736,1939175317,1082766,48173336,17,37,19,32,5691,793
740,773,2072428383,7172553,65268256,150,8,7,9,22213,4754
165,169,1933586253,1358280,46511296,25,10,10,10,15758,1707
167,326,1928219279,2125286,52422848,32,3,5,4,14861,5102
169,201,1912847652,1231400,60314960,72,7,7,1,29632,1642
